SegmentOrder,Segment,Customers,Avg_Recency,Avg_Frequency,Avg_Monetary,Total_Revenue,Pct_Customers,Pct_Revenue,Description,Marketing Action
1,Champions,1904,77.3,2.4,4606.6,8770941.1,10.3,29.9,Most loyal and valuable customers who frequently purchase and engage with your brand.,"Reward with loyalty programs, exclusive previews, or priority access to new products/services."
2,Loyal,1571,141.5,2.2,3669.8,5765189.3,8.5,19.6,Regular customers who consistently engage with and purchase from your brand.,"Maintain engagement through personalized communication, loyalty programs, and occasional rewards."
3,Potential Loyalist,2859,93.7,1.7,242.6,693490.0,15.5,2.4,"Customers with growing interest and engagement, indicating a potential to become loyal.","Nurture with personalized offers, recognition, and incentives to solidify their loyalty."
4,Promising,1588,74.4,1.0,1086.4,1725134.9,8.6,5.9,New or occasional customers with good potential based on recent behavior.,"Encourage further engagement with special offers, tailored content, or invitations to loyalty programs."
5,New Customers,1462,95.4,1.0,38.3,56050.4,7.9,0.2,First-time buyers who recently started engaging with your brand.,"Onboard with welcome emails, educational content, or incentives for repeat purchases."
6,About To Sleep,1158,198.0,1.0,82.8,95849.7,6.3,0.3,Customers who have purchased before but have shown declining engagement or inactivity.,"Send personalized re-engagement campaigns, offer discounts or reminders about their previous activity."
8,Hibernating customers,2432,255.7,1.0,179.8,437173.5,13.2,1.5,Customers who were once active but have not engaged in a significant period.,"Reactivate through targeted campaigns, reminders of past purchases, or enticing offers."
9,Need Attention,660,129.6,1.4,1092.0,720707.0,3.6,2.5,Customers with decent engagement but show early signs of decreasing interest or activity.,"Monitor closely, offer encouragement to stay engaged with personalized recommendations or support."
10,At Risk,2798,361.0,1.6,3034.0,8489252.5,15.1,28.9,"Customers with reduced frequency of purchase or engagement, indicating potential churn.",Offer incentives such as loyalty rewards or exclusive promotions to encourage retention.
11,Cannot Lose Them,951,332.3,1.6,2701.3,2568944.4,5.1,8.8,High-value customers with recent inactivity or signs of disengagement.,"Provide VIP treatment, personalized outreach, or exclusive offers to rekindle their loyalty."
11,Lost customers,1101,327.4,1.0,32.6,35944.5,6.0,0.1,Customers who have completely stopped engaging despite prior activity.,Conduct win-back campaigns or surveys to understand reasons for disengagement and address concerns.
